tree,date,Source,Length [µm],Comment
27-02-08,5_5_20,bud10_flower_w.tif,5149.08,
27-02-08,5_5_20,bud9_flower_w.tif,6596.82,
27-02-08,5_5_20,bud8_flower_w.tif,5541.23,
27-02-08,5_5_20,bud7_flower_w.tif,5647.75,
27-02-08,5_5_20,bud6_flower_w.tif,4502.02,
27-02-08,5_5_20,bud5_flower_e.tif,6154.71,
27-02-08,5_5_20,bud4_flower_e.tif,5893.13,
27-02-08,5_5_20,bud3_flower_e.tif,5648.35,
27-02-08,5_5_20,bud2_flower_e.tif,4800.99,
27-02-08,5_5_20,bud1_flower_e.tif,7499.95,
27-02-19,5_5_20,bud10_flower_w.tif,3055.69,
27-02-19,5_5_20,bud9_flower_w.tif,3252.38,
27-02-19,5_5_20,bud8_flower_w.tif,3666.02,
27-02-19,5_5_20,bud7_flower_w.tif,2658.78,
27-02-19,5_5_20,bud6_flower_w.tif,5041.5,
27-02-19,5_5_20,bud5_flower_e.tif,3305.12,
27-02-19,5_5_20,bud4_flower_e.tif,2970,
27-02-19,5_5_20,bud3_flower_e.tif,3813.45,
27-02-19,5_5_20,bud2_flower_e.tif,4217.13,
27-02-19,5_5_20,bud1_flower_e.tif,3469.23,
27-02-65,5_5_20,bud10_flower_w.tif,13172.9,
27-02-65,5_5_20,bud9_flower_w.tif,14060.26,
27-02-65,5_5_20,bud8_flower_w.tif,13002.85,
27-02-65,5_5_20,bud7_flower_w.tif,14360.75,
27-02-65,5_5_20,bud6_flower_w.tif,15447.5,
27-02-65,5_5_20,bud5_flower_e.tif,14125.23,
27-02-65,5_5_20,bud4_flower_e.tif,12337.15,
27-02-65,5_5_20,bud3_flower_e.tif,14178.62,
27-02-65,5_5_20,bud2_flower_e.tif,14309.96,
27-02-65,5_5_20,bud1_flower_e.tif,13510.48,
27-03-08,5_5_20,bud10_flower_w.tif,9124.33,
27-03-08,5_5_20,bud9_flower_w.tif,6165.09,
27-03-08,5_5_20,bud8_flower_w.tif,5624.82,
27-03-08,5_5_20,bud7_flower_w.tif,7566.51,
27-03-08,5_5_20,bud6_flower_w.tif,6404.8,
27-03-08,5_5_20,bud5_flower_e.tif,7940.61,
27-03-08,5_5_20,bud4_flower_e.tif,5896.58,
27-03-08,5_5_20,bud3_flower_e.tif,7339.79,
27-03-08,5_5_20,bud2_flower_e.tif,6268.82,
27-03-08,5_5_20,bud1_flower_e.tif,7037.82,
27-03-27,5_5_20,bud10_flower_w.tif,11360.95,
27-03-27,5_5_20,bud9_flower_w.tif,10546.13,
27-03-27,5_5_20,bud8_flower_w.tif,11078.07,
27-03-27,5_5_20,bud7_flower_w.tif,10365.95,
27-03-27,5_5_20,bud6_flower_w.tif,9955.29,
27-03-27,5_5_20,bud5_flower_e.tif,9740.37,
27-03-27,5_5_20,bud4_flower_e.tif,11423.43,
27-03-27,5_5_20,bud3_flower_e.tif,7031.67,
27-03-27,5_5_20,bud2_flower_e.tif,7331.77,
27-03-27,5_5_20,bud1_flower_e.tif,10075.28,
27-03-28,5_5_20,bud10_flower_w.tif,10347.87,
27-03-28,5_5_20,bud9_flower_w.tif,8667.96,
27-03-28,5_5_20,bud8_flower_w.tif,10992.62,
27-03-28,5_5_20,bud7_flower_w.tif,9394.54,
27-03-28,5_5_20,bud6_flower_w.tif,11859.24,
27-03-28,5_5_20,bud5_flower_e.tif,10303.97,
27-03-28,5_5_20,bud4_flower_e.tif,8456.43,
27-03-28,5_5_20,bud3_flower_e.tif,10297.47,
27-03-28,5_5_20,bud2_flower_e.tif,9256,
27-03-28,5_5_20,bud1_flower_e.tif,11610.13,
27-04-12,5_5_20,bud10_flower_w.tif,3969.93,
27-04-12,5_5_20,bud9_flower_w.tif,3825.49,
27-04-12,5_5_20,bud8_flower_w.tif,2781.81,
27-04-12,5_5_20,bud7_flower_w.tif,4424.2,
27-04-12,5_5_20,bud6_flower_w.tif,4284.52,
27-04-12,5_5_20,bud5_flower_e.tif,4393.27,
27-04-12,5_5_20,bud4_flower_e.tif,3674.84,
27-04-12,5_5_20,bud3_flower_e.tif,3552.95,
27-04-12,5_5_20,bud2_flower_e.tif,4109.01,
27-04-12,5_5_20,bud1_flower_e.tif,5408.69,
27-04-34,5_5_20,bud10_flower_w.tif,15821.97,
27-04-34,5_5_20,bud9_flower_w.tif,15166.71,
27-04-34,5_5_20,bud8_flower_w.tif,15783.12,
27-04-34,5_5_20,bud7_flower_w.tif,15208.26,
27-04-34,5_5_20,bud6_flower_w.tif,13427.05,
27-04-34,5_5_20,bud5_flower_e.tif,13171.23,
27-04-34,5_5_20,bud4_flower_e.tif,15587.26,
27-04-34,5_5_20,bud3_flower_e.tif,10153.34,
27-04-34,5_5_20,bud2_flower_e.tif,16153.35,
27-04-34,5_5_20,bud1_flower_e.tif,15154.35,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
27-03-25,5_5_20,approximation,NA,
