tree,date,Source,Length [µm],Comment
27-02-65,5_4_20,bud30_flower_w.tif,14729.99,
27-02-65,5_4_20,bud29_flower_w.tif,14220.74,
27-02-65,5_4_20,bud28_flower_w.tif,14572.68,
27-02-65,5_4_20,bud27_flower_w.tif,14082.49,
27-02-65,5_4_20,bud26_flower_w.tif,14816.81,
27-02-65,5_4_20,bud25_flower_w.tif,14470.74,
27-02-65,5_4_20,bud24_flower_w.tif,15046.23,
27-02-65,5_4_20,bud23_flower_w.tif,14238.23,
27-02-65,5_4_20,bud22_flower_w.tif,14524.16,
27-02-65,5_4_20,bud21_flower_w.tif,14786.25,
27-02-65,5_4_20,bud20_flower_w.tif,14313.9,
27-02-65,5_4_20,bud19_flower_w.tif,14798.4,
27-02-65,5_4_20,bud18_flower_w.tif,15015.93,
27-02-65,5_4_20,bud17_flower_w.tif,14460.19,
27-02-65,5_4_20,bud16_flower_w.tif,13326.41,
27-02-65,5_4_20,bud15_flower_e.tif,14377.1,
27-02-65,5_4_20,bud14_flower_e.tif,14605.86,
27-02-65,5_4_20,bud13_flower_e.tif,13961.68,
27-02-65,5_4_20,bud12_flower_e.tif,13748.31,
27-02-65,5_4_20,bud11_flower_e.tif,14227.6,
27-02-65,5_4_20,bud10_flower_e.tif,13899.04,
27-02-65,5_4_20,bud9_flower_e.tif,13762.91,
27-02-65,5_4_20,bud8_flower_e.tif,13629.14,
27-02-65,5_4_20,bud7_flower_e.tif,13994.62,
27-02-65,5_4_20,bud6_flower_e.tif,14048.05,
27-02-65,5_4_20,bud5_flower_e.tif,14103.72,
27-02-65,5_4_20,bud4_flower_e.tif,14478.14,
27-02-65,5_4_20,bud3_flower_e.tif,14387.68,
27-02-65,5_4_20,bud2_flower_e.tif,13571.77,
27-02-65,5_4_20,bud1_flower_e.tif,14536.6,
