tree,date,Source,Length [µm],Comment
27-02-08,11_16_19,bud10_flower_w.tif,540.59,
27-02-08,11_16_19,bud9_flower_w.tif,456.12,
27-02-08,11_16_19,bud8_flower_w.tif,466.82,
27-02-08,11_16_19,bud7_flower_w.tif,505.21,
27-02-08,11_16_19,bud6_flower_w.tif,496.72,
27-02-08,11_16_19,bud5_flower_e.tif,386.83,
27-02-08,11_16_19,bud4_flower_e.tif,433.84,
27-02-08,11_16_19,bud3_flower_e.tif,472.31,
27-02-08,11_16_19,bud1_flower_e.tif,532.1,
27-02-08,11_16_19,bud2_flower_e.tif,476.9,
27-02-19,11_16_19,bud10_flower_w.tif,327.13,
27-02-19,11_16_19,bud9_flower_w.tif,310.04,
27-02-19,11_16_19,bud8_flower_w.tif,415.61,
27-02-19,11_16_19,bud7_flower_w.tif,394.43,
27-02-19,11_16_19,bud6_flower_w.tif,360.38,
27-02-19,11_16_19,bud5_flower_e.tif,346.99,
27-02-19,11_16_19,bud4_flower_e.tif,357.01,
27-02-19,11_16_19,bud3_flower_e.tif,282.51,
27-02-19,11_16_19,bud2_flower_e.tif,361.67,
27-02-19,11_16_19,bud1_flower_e.tif,381.39,
27-02-65,11_16_19,bud11_flower_w.tif,354.02,
27-02-65,11_16_19,bud10_flower_w.tif,434.25,
27-02-65,11_16_19,bud9_flower_w.tif,444.53,
27-02-65,11_16_19,bud8_flower_w.tif,493.75,
27-02-65,11_16_19,bud7_flower_w.tif,455.59,
27-02-65,11_16_19,bud6_flower_e.tif,477.15,
27-02-65,11_16_19,bud5_flower_e.tif,493.14,
27-02-65,11_16_19,bud4_flower_e.tif,478.07,
27-02-65,11_16_19,bud3_flower_e.tif,436.24,
27-02-65,11_16_19,bud2_flower_e.tif,393.07,
27-03-08,11_16_19,bud13_flower_w.tif,356,
27-03-08,11_16_19,bud12_flower_w.tif,340.63,
27-03-08,11_16_19,bud11_flower_w.tif,323.46,
27-03-08,11_16_19,bud10_flower_w.tif,340.76,
27-03-08,11_16_19,bud9_flower_w.tif,399.68,
27-03-08,11_16_19,bud5_flower_e.tif,409.31,
27-03-08,11_16_19,bud4_flower_e.tif,383.38,
27-03-08,11_16_19,bud3_flower_e.tif,419.48,
27-03-08,11_16_19,bud2_flower_e.tif,425.23,
27-03-08,11_16_19,bud1_flower_e.tif,404.76,
27-03-25,11_16_19,bud10_flower_w.tif,521.57,
27-03-25,11_16_19,bud9_flower_w.tif,416.02,
27-03-25,11_16_19,bud8_flower_w.tif,512.65,
27-03-25,11_16_19,bud7_flower_w.tif,538.22,
27-03-25,11_16_19,bud6_flower_w.tif,465.32,
27-03-25,11_16_19,bud5_flower_e.tif,458.73,
27-03-25,11_16_19,bud4_flower_e.tif,513.29,
27-03-25,11_16_19,bud3_flower_e.tif,464.51,
27-03-25,11_16_19,bud2_flower_e.tif,414.66,
27-03-25,11_16_19,bud1_flower_e.tif,539.81,
27-03-27,11_16_19,bud10_flower_e.tif,426.57,
27-03-27,11_16_19,bud9_flower_e.tif,419.52,
27-03-27,11_16_19,bud8_flower_e.tif,417.6,
27-03-27,11_16_19,bud7_flower_e.tif,319.17,
27-03-27,11_16_19,bud6_flower_e.tif,420.75,
27-03-27,11_16_19,bud5_flower_w.tif,433.85,
27-03-27,11_16_19,bud4_flower_w.tif,476.3,
27-03-27,11_16_19,bud3_flower_w.tif,460,
27-03-27,11_16_19,bud2_flower_w.tif,455.39,
27-03-27,11_16_19,bud1_flower_w.tif,466.99,
27-03-28,11_16_19,bud10_flower_w.tif,398.86,
27-03-28,11_16_19,bud9_flower_w.tif,422.33,
27-03-28,11_16_19,bud8_flower_w.tif,426.91,
27-03-28,11_16_19,bud7_flower_w.tif,389.86,
27-03-28,11_16_19,bud6_flower_w.tif,495.39,
27-03-28,11_16_19,bud5_flower_e.tif,523.24,
27-03-28,11_16_19,bud4_flower_e.tif,504.45,
27-03-28,11_16_19,bud3_flower_e.tif,529.46,
27-03-28,11_16_19,bud2_flower_e.tif,529.52,
27-03-28,11_16_19,bud1_flower_e.tif,450.94,
27-03-46,11_16_19,bud10_flower_w.tif,450.55,
27-03-46,11_16_19,bud9_flower_w.tif,495.9,
27-03-46,11_16_19,bud8_flower_w.tif,496.13,
27-03-46,11_16_19,bud7_flower_w.tif,356.54,
27-03-46,11_16_19,bud6_flower_w.tif,477.09,
27-03-46,11_16_19,bud5_flower_e.tif,595.06,
27-03-46,11_16_19,bud4_flower_e.tif,518.29,
27-03-46,11_16_19,bud3_flower_e.tif,497.78,
27-03-46,11_16_19,bud2_flower_e.tif,460.37,
27-03-46,11_16_19,bud1_flower_e.tif,517.82,
27-04-12,11_16_19,bud10_flower_w.tif,352.12,
27-04-12,11_16_19,bud9_flower_w.tif,349.92,
27-04-12,11_16_19,bud8_flower_w.tif,362.01,
27-04-12,11_16_19,bud7_flower_w.tif,382.36,
27-04-12,11_16_19,bud6_flower_w.tif,368.6,
