tree,date,Source,Length [µm],Comment
27-02-19,5_15_20,bud10_flower_w.tif,9157.55,
27-02-19,5_15_20,bud9_flower_w.tif,8374.71,
27-02-19,5_15_20,bud8_flower_w.tif,9159.03,
27-02-19,5_15_20,bud7_flower_w.tif,9546.99,
27-02-19,5_15_20,bud6_flower_w.tif,8937.32,
27-02-19,5_15_20,bud5_flower_e.tif,6702.98,
27-02-19,5_15_20,bud4_flower_e.tif,8525.3,
27-02-19,5_15_20,bud3_flower_e.tif,7889.23,
27-02-19,5_15_20,bud2_flower_e.tif,4500.08,
27-02-19,5_15_20,bud1_flower_e.tif,7835.44,
27-03-08,5_15_20,bud10_flower_w.tif,16262.47,
27-03-08,5_15_20,bud9_flower_w.tif,15082.31,
27-03-08,5_15_20,bud8_flower_w.tif,17446.93,
27-03-08,5_15_20,bud7_flower_w.tif,17543.18,
27-03-08,5_15_20,bud6_flower_w.tif,14464.82,
27-03-08,5_15_20,bud5_flower_e.tif,13905.08,
27-03-08,5_15_20,bud4_flower_e.tif,12857.3,
27-03-08,5_15_20,bud3_flower_e.tif,10306.23,
27-03-08,5_15_20,bud2_flower_e.tif,18462.05,
27-03-08,5_15_20,bud1_flower_e.tif,15364.18,
27-04-12,5_15_20,bud10_flower_w.tif,8605.55,
27-04-12,5_15_20,bud9_flower_w.tif,10113.34,
27-04-12,5_15_20,bud8_flower_w.tif,11263.27,
27-04-12,5_15_20,bud7_flower_w.tif,12494.22,
27-04-12,5_15_20,bud6_flower_w.tif,8248.66,
27-04-12,5_15_20,bud5_flower_e.tif,12524.55,
27-04-12,5_15_20,bud4_flower_e.tif,8319.74,
27-04-12,5_15_20,bud3_flower_e.tif,12871.69,
27-04-12,5_15_20,bud2_flower_e.tif,10693.46,
27-04-12,5_15_20,bud1_flower_e.tif,8802.97,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-25,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-46,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-27,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-03-28,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-04-34,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-65,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
27-02-08,5_15_20,approximation,NA,
