tree,date,Source,Length [µm],Comment
27-02-08,4_27_20,bud10_flower_w.tif,1822.94,
27-02-08,4_27_20,bud9_flower_w.tif,2270.33,
27-02-08,4_27_20,bud8_flower_w.tif,2459.53,
27-02-08,4_27_20,bud7_flower_w.tif,2695.27,
27-02-08,4_27_20,bud6_flower_w.tif,3004.91,
27-02-08,4_27_20,bud5_flower_e.tif,2424.45,
27-02-08,4_27_20,bud4_flower_e.tif,2537.31,
27-02-08,4_27_20,bud3_flower_e.tif,2323.18,
27-02-08,4_27_20,bud2_flower_e.tif,2378.22,
27-02-08,4_27_20,bud1_flower_e.tif,1629.85,
27-02-19,4_27_20,bud10_flower_w.tif,1901.53,
27-02-19,4_27_20,bud9_flower_w.tif,1804.86,
27-02-19,4_27_20,bud8_flower_w.tif,1609.93,
27-02-19,4_27_20,bud7_flower_w.tif,2130.44,
27-02-19,4_27_20,bud6_flower_w.tif,1378.25,
27-02-19,4_27_20,bud5_flower_w.tif,1993.95,
27-02-19,4_27_20,bud4_flower_e.tif,1462.47,
27-02-19,4_27_20,bud3_flower_e.tif,2045.05,
27-02-19,4_27_20,bud2_flower_e.tif,1228.54,
27-02-19,4_27_20,bud1_flower_e.tif,2362.87,
27-02-65,4_27_20,bud1_flower_e.tif,4519.61,
27-02-65,4_27_20,bud9_flower_w.tif,3010.96,
27-02-65,4_27_20,bud8_flower_w.tif,4564.25,
27-02-65,4_27_20,bud7_flower_w.tif,4704.55,
27-02-65,4_27_20,bud6_flower_w.tif,4277.11,
27-02-65,4_27_20,bud5_flower_e.tif,4167.61,
27-02-65,4_27_20,bud4_flower_e.tif,4747.27,
27-02-65,4_27_20,bud3_flower_e.tif,5002.11,
27-02-65,4_27_20,bud2_flower_e.tif,3805.74,
27-02-65,4_27_20,bud10_flower_w.tif,4696.63,"wrong magnification, changed to 2x"
27-03-08,4_27_20,bud10_flower_w.tif,3118.14,
27-03-08,4_27_20,bud9_flower_w.tif,2826.14,
27-03-08,4_27_20,bud8_flower_w.tif,3267.44,
27-03-08,4_27_20,bud7_flower_w.tif,2802.53,
27-03-08,4_27_20,bud6_flower_w.tif,2583.71,
27-03-08,4_27_20,bud5_flower_e.tif,3009.29,
27-03-08,4_27_20,bud4_flower_e.tif,3015.84,
27-03-08,4_27_20,bud3_flower_e.tif,1838.35,
27-03-08,4_27_20,bud2_flower_e.tif,2655.54,
27-03-08,4_27_20,bud1_flower_e.tif,2713.28,
27-03-25,4_27_20,bud10_flower_w.tif,4278.87,
27-03-25,4_27_20,bud9_flower_w.tif,2887.27,
27-03-25,4_27_20,bud8_flower_w.tif,3156.02,
27-03-25,4_27_20,bud7_flower_w.tif,3012.48,
27-03-25,4_27_20,bud6_flower_w.tif,3448.96,
27-03-25,4_27_20,bud5_flower_e.tif,3518.91,
27-03-25,4_27_20,bud4_flower_e.tif,3312.27,
27-03-25,4_27_20,bud3_flower_e.tif,4213.56,
27-03-25,4_27_20,bud2_flower_e.tif,4543.07,
27-03-25,4_27_20,bud1_flower_e.tif,3503.3,
27-03-27,4_27_20,bud10_flower_w.tif,3549,
27-03-27,4_27_20,bud9_flower_w.tif,2687.42,
