tree,date,Source,Length [µm],Comment
27-02-08,4_18_20,bud10_flower_w.tif,1822.56,
27-02-08,4_18_20,bud9_flower_w.tif,1502.75,
27-02-08,4_18_20,bud8_flower_w.tif,1686.73,
27-02-08,4_18_20,bud7_flower_w.tif,1116.55,wonder if this is really 6x?
27-02-08,4_18_20,bud6_flower_w.tif,1678.2,
27-02-08,4_18_20,bud5_flower_e.tif,1671.36,
27-02-08,4_18_20,bud4_flower_e.tif,2172.73,don't think this is 4x but not sure
27-02-08,4_18_20,bud3_flower_e.tif,1573.08,
27-02-08,4_18_20,bud2_flower_e.tif,1931.37,
27-02-08,4_18_20,bud1_flower_e.tif,1844.39,
27-02-19,4_18_20,bud10_flower_w.tif,1490.21,
27-02-19,4_18_20,bud9_flower_w.tif,1529.3,
27-02-19,4_18_20,bud8_flower_w.tif,1562.35,
27-02-19,4_18_20,bud7_flower_w.tif,1348.01,
27-02-19,4_18_20,bud6_flower_w.tif,1083.23,
27-02-19,4_18_20,bud5_flower_w.tif,1185.57,
27-02-19,4_18_20,bud4_flower_e.tif,1138.12,
27-02-19,4_18_20,bud3_flower_e.tif,1404.22,
27-02-19,4_18_20,bud2_flower_e.tif,1297.59,
27-02-19,4_18_20,bud1_flower_e.tif,1461.03,
27-02-65,4_18_20,bud10_flower_w.tif,2611.17,
27-02-65,4_18_20,bud9_flower_w.tif,2638.49,
27-02-65,4_18_20,bud8_flower_w.tif,2540.23,
27-02-65,4_18_20,bud7_flower_w.tif,2937.23,
27-02-65,4_18_20,bud6_flower_w.tif,2844.49,
27-02-65,4_18_20,bud5_flower_e.tif,2924.88,
27-02-65,4_18_20,bud4_flower_e.tif,2160.98,
27-02-65,4_18_20,bud3_flower_e.tif,3121.61,
27-02-65,4_18_20,bud2_flower_e.tif,2499.4,
27-02-65,4_18_20,bud1_flower_e.tif,2481.89,
27-03-08,4_18_20,bud10_flower_w.tif,1760.45,
27-03-08,4_18_20,bud9_flower_w.tif,1686.11,
27-03-08,4_18_20,bud8_flower_w.tif,1630.07,
27-03-08,4_18_20,bud7_flower_w.tif,1538.58,
27-03-08,4_18_20,bud6_flower_w.tif,1958.55,
27-03-08,4_18_20,bud5_flower_e.tif,1730.05,
27-03-08,4_18_20,bud4_flower_e.tif,1635.3,
27-03-08,4_18_20,bud3_flower_e.tif,1709.71,
27-03-08,4_18_20,bud2_flower_e.tif,2112.24,
27-03-08,4_18_20,bud1_flower_e.tif,2062.11,
27-03-25,4_18_20,bud10_flower_w.tif,2646.25,
27-03-25,4_18_20,bud9_flower_w.tif,2251.28,
27-03-25,4_18_20,bud8_flower_w.tif,1921.29,
27-03-25,4_18_20,bud7_flower_w.tif,2107.12,
27-03-25,4_18_20,bud6_flower_w.tif,1798.83,
27-03-25,4_18_20,bud5_flower_e.tif,2688.9,
27-03-25,4_18_20,bud4_flower_e.tif,1970.18,
27-03-25,4_18_20,bud3_flower_e.tif,2739.17,
27-03-25,4_18_20,bud2_flower_e.tif,2256.77,
27-03-25,4_18_20,bud1_flower_e.tif,2691.04,
27-03-27,4_18_20,bud10_flower_w.tif,1702.23,
27-03-27,4_18_20,bud9_flower_w.tif,1968.37,
27-03-27,4_18_20,bud8_flower_w.tif,2029.38,
27-03-27,4_18_20,bud7_flower_w.tif,2133.78,
27-03-27,4_18_20,bud6_flower_w.tif,2200.86,
27-03-27,4_18_20,bud5_flower_e.tif,2171.89,
27-03-27,4_18_20,bud4_flower_e.tif,2369.33,
