tree,date,Source,Length [µm],Comment
27-02-08,5_11_20,bud10_flower_w.tif,10555.06,
27-02-08,5_11_20,bud9_flower_w.tif,11966.66,
27-02-08,5_11_20,bud8_flower_w.tif,12747.45,
27-02-08,5_11_20,bud7_flower_w.tif,8761.16,
27-02-08,5_11_20,bud6_flower_w.tif,10913.83,
27-02-08,5_11_20,bud5_flower_e.tif,11920.29,
27-02-08,5_11_20,bud4_flower_e.tif,11255.36,
27-02-08,5_11_20,bud3_flower_e.tif,12081.36,
27-02-08,5_11_20,bud2_flower_e.tif,8051.05,
27-02-08,5_11_20,bud1_flower_e.tif,11631.82,
27-02-19,5_11_20,bud10_flower_w.tif,5822.15,
27-02-19,5_11_20,bud9_flower_w.tif,3874.87,
27-02-19,5_11_20,bud8_flower_w.tif,8062.96,
27-02-19,5_11_20,bud7_flower_w.tif,4188.87,
27-02-19,5_11_20,bud6_flower_w.tif,5453.98,
27-02-19,5_11_20,bud5_flower_e.tif,4085.25,
27-02-19,5_11_20,bud4_flower_e.tif,6434.71,
27-02-19,5_11_20,bud3_flower_e.tif,6354.07,
27-02-19,5_11_20,bud2_flower_e.tif,6305.88,
27-02-19,5_11_20,bud1_flower_e.tif,6176.18,
27-03-08,5_11_20,bud10_flower_w.tif,7552.41,
27-03-08,5_11_20,bud9_flower_w.tif,11158.78,
27-03-08,5_11_20,bud8_flower_w.tif,6267.42,
27-03-08,5_11_20,bud7_flower_w.tif,6953.68,
27-03-08,5_11_20,bud6_flower_w.tif,8861.63,
27-03-08,5_11_20,bud5_flower_e.tif,7594.76,
27-03-08,5_11_20,bud4_flower_e.tif,9499.96,
27-03-08,5_11_20,bud3_flower_e.tif,8517.44,
27-03-08,5_11_20,bud2_flower_e.tif,9273.61,
27-03-08,5_11_20,bud1_flower_e.tif,9328.23,
27-04-12,5_11_20,bud10_flower_w.tif,6345.97,
27-04-12,5_11_20,bud9_flower_w.tif,5977.47,
27-04-12,5_11_20,bud8_flower_w.tif,8559.12,
27-04-12,5_11_20,bud7_flower_w.tif,5351.92,
27-04-12,5_11_20,bud6_flower_w.tif,5571.16,
27-04-12,5_11_20,bud5_flower_e.tif,5688.16,
27-04-12,5_11_20,bud4_longit_e_scale_could_be_off.tif,6478.1,
27-04-12,5_11_20,bud3_flower_e_scale_could_be_off.tif,5094.33,
27-04-12,5_11_20,bud2_flower_e.tif,6708.37,
27-04-12,5_11_20,bud1_flower_e.tif,6505.85,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-25,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-46,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-27,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-03-28,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-04-34,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
27-02-65,5_11_20,approximation,NA,
