Gene_ID	Count
Pcer_024431-RA	       3
Pcer_024432-RA	       1
Pcer_024433-RA	      13
Pcer_024434-RA	      11
Pcer_097356-RA	      10
Pcer_024435-RA	       4
Pcer_097357-RA	       2
Pcer_097358-RA	      10
Pcer_097359-RA	      11
Pcer_097360-RA	       3
Pcer_024442-RA	      15
Pcer_024444-RA	       5
Pcer_024445-RA	       3
Pcer_024446-RA	       1
Pcer_024448-RA	       6
Pcer_024449-RA	      13
Pcer_097361-RA	      11
Pcer_024451-RA	       3
Pcer_024452-RA	       3
Pcer_097362-RA	      12
Pcer_097366-RA	       1
Pcer_024456-RA	       2
Pcer_097368-RA	       3
Pcer_024460-RA	       3
Pcer_097371-RA	       1
Pcer_097372-RA	      31
Pcer_024463-RA	      60
Pcer_097373-RA	      27
Pcer_024465-RA	       3
Pcer_097375-RA	       2
Pcer_097376-RA	       2
Pcer_097377-RA	       1
Pcer_024469-RA	       2
Pcer_097378-RA	       5
Pcer_024471-RA	       4
Pcer_024472-RA	       3
Pcer_024473-RA	       1
Pcer_024474-RA	       1
Pcer_097382-RA	       6
Pcer_097383-RA	       3
Pcer_097384-RA	       1
Pcer_097385-RA	       1
Pcer_024476-RA	       1
Pcer_024479-RA	       1
Pcer_024480-RA	       1
Pcer_097388-RA	       2
Pcer_024485-RA	      12
Pcer_024486-RA	       3
Pcer_024487-RA	       2
Pcer_024488-RA	       4
Pcer_097389-RA	       4
Pcer_024490-RA	       1
Pcer_024491-RA	       4
Pcer_024492-RA	       4
Pcer_024494-RA	      11
Pcer_024496-RA	      33
Pcer_024498-RA	       4
Pcer_024497-RA	      14
Pcer_024499-RA	      26
Pcer_097390-RA	      10
Pcer_024501-RA	       9
Pcer_024502-RA	      14
Pcer_024503-RA	       2
Pcer_024504-RA	       6
Pcer_024505-RA	       6
Pcer_024507-RA	      11
Pcer_024508-RA	       2
Pcer_024509-RA	       2
Pcer_097391-RA	       3
Pcer_024510-RA	       4
Pcer_024511-RA	       2
Pcer_024512-RA	       1
Pcer_024517-RA	       4
Pcer_024518-RA	      28
Pcer_024519-RA	       1
Pcer_024521-RA	       2
Pcer_097393-RA	       6
Pcer_024522-RA	       2
Pcer_024526-RA	       1
Pcer_024525-RA	       2
Pcer_097396-RA	       2
Pcer_024528-RA	       2
Pcer_097397-RA	       4
Pcer_024529-RA	       2
Pcer_097399-RA	      23
Pcer_024533-RA	       1
Pcer_024537-RA	       6
Pcer_097402-RA	       4
Pcer_024539-RA	       2
Pcer_097403-RA	       3
Pcer_097405-RA	       1
Pcer_097404-RA	       2
Pcer_024541-RA	       5
Pcer_097406-RA	       3
Pcer_024542-RA	       1
Pcer_024544-RA	       1
Pcer_097407-RA	       2
Pcer_024546-RA	       3
Pcer_024547-RA	       2
Pcer_024548-RA	       2
Pcer_024549-RA	       1
Pcer_097408-RA	       2
Pcer_024553-RA	      14
Pcer_024554-RA	      15
Pcer_024556-RA	       1
Pcer_097409-RA	       3
Pcer_024557-RA	       3
Pcer_024558-RA	       6
Pcer_097410-RA	       9
Pcer_024560-RA	       3
Pcer_024563-RA	       3
Pcer_024566-RA	      15
Pcer_024568-RA	       5
Pcer_024569-RA	      12
Pcer_024570-RA	      10
Pcer_024571-RA	      20
Pcer_097413-RA	       9
Pcer_024572-RA	      12
Pcer_097414-RA	       6
Pcer_097415-RA	       1
Pcer_097416-RA	       6
Pcer_024575-RA	       2
Pcer_097419-RA	       3
Pcer_024574-RA	       3
Pcer_024577-RA	       2
Pcer_097421-RA	       1
Pcer_024584-RA	       4
Pcer_024586-RA	       3
Pcer_024588-RA	       1
Pcer_024587-RA	       2
Pcer_024589-RA	       2
Pcer_097423-RA	       4
Pcer_024593-RA	       1
Pcer_097424-RA	       2
Pcer_097425-RA	      16
Pcer_024595-RA	      12
Pcer_024596-RA	      13
Pcer_024597-RA	      24
Pcer_097426-RA	      34
Pcer_024600-RA	       3
Pcer_097427-RA	       2
Pcer_024603-RA	       5
Pcer_024604-RA	       8
Pcer_024605-RA	       9
Pcer_024606-RA	       7
Pcer_024608-RA	      24
Pcer_097428-RA	       3
Pcer_097429-RA	       4
Pcer_024612-RA	      28
Pcer_024614-RA	       5
Pcer_024615-RA	       1
Pcer_024616-RA	      13
Pcer_024624-RA	       1
Pcer_024629-RA	      13
Pcer_097433-RA	       1
Pcer_024631-RA	      23
Pcer_024632-RA	      10
Pcer_097434-RA	       9
Pcer_024634-RA	       9
Pcer_024635-RA	      10
Pcer_024636-RA	       7
Pcer_024638-RA	      17
Pcer_024639-RA	      12
Pcer_097435-RA	       3
Pcer_024641-RA	       9
Pcer_024645-RA	       4
Pcer_024646-RA	       7
Pcer_097437-RA	       5
Pcer_024650-RA	       5
Pcer_097438-RA	       5
Pcer_024654-RA	       4
Pcer_024656-RA	       1
Pcer_097440-RA	       7
Pcer_024661-RA	      45
Pcer_097441-RA	       3
Pcer_024664-RA	       8
Pcer_097443-RA	       1
Pcer_024665-RA	      10
Pcer_097444-RA	      16
Pcer_024667-RA	       9
Pcer_024668-RA	       2
Pcer_097445-RA	       3
Pcer_024670-RA	       8
Pcer_097446-RA	       7
Pcer_097447-RA	      22
Pcer_097448-RA	      14
Pcer_024677-RA	       3
Pcer_024678-RA	       3
Pcer_097449-RA	       2
Pcer_024680-RA	       6
Pcer_024681-RA	       9
Pcer_024682-RA	      18
Pcer_024683-RA	      19
Pcer_024684-RA	       1
Pcer_097450-RA	       2
Pcer_024686-RA	       2
Pcer_024687-RA	       9
Pcer_097453-RA	       1
Pcer_097452-RA	      16
Pcer_024689-RA	       3
Pcer_097455-RA	      14
Pcer_024693-RA	       5
Pcer_097456-RA	       7
Pcer_024694-RA	       2
Pcer_097457-RA	       1
Pcer_024699-RA	       1
Pcer_097459-RA	       7
Pcer_097460-RA	       2
Pcer_024701-RA	       9
Pcer_024703-RA	       8
Pcer_024702-RA	      23
Pcer_024704-RA	      33
Pcer_097461-RA	      18
Pcer_024706-RA	      31
Pcer_024708-RA	       1
Pcer_024707-RA	      10
Pcer_024709-RA	      16
Pcer_097462-RA	      12
Pcer_097463-RA	       4
Pcer_024712-RA	      13
Pcer_097465-RA	       1
Pcer_024713-RA	       3
Pcer_024714-RA	       8
Pcer_097466-RA	       2
Pcer_097467-RA	       3
Pcer_024717-RA	       2
Pcer_097468-RA	       5
Pcer_024718-RA	       2
Pcer_097469-RA	       1
Pcer_024727-RA	       2
Pcer_024731-RA	       1
Pcer_097472-RA	       5
Pcer_024738-RA	       7
Pcer_024743-RA	       3
Pcer_024747-RA	       5
Pcer_024750-RA	       4
Pcer_024751-RA	       2
Pcer_024756-RA	       5
Pcer_024757-RA	       2
Pcer_024760-RA	       6
Pcer_024763-RA	       1
Pcer_024764-RA	       3
Pcer_024765-RA	      10
Pcer_024766-RA	      13
Pcer_024767-RA	       2
Pcer_024768-RA	       1
