gene_id	27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_003060	1.05396458265919	0	0.363924105163292	4.05946591265205	0.903833056257646	0.299025491912205	4.00596519541548	0	4.34071222727163	4.24627917409789	4.2261221198601	0.723251465066945	1.2603668427721	2.56605328636928	4.19656305188203	1.08864477766736	4.16492260554894	0	0.59942478955157	1.1008038853647	0.816226388923942	3.8366209963697	1.1635960231835	3.99604241093172	0.730499803765378	1.98875628789826	4.25962766038324	0.545234006980866	0	0.677133645578081	0	4.02828987005568	0	1.25033258894271	4.03101482132635	0.366755464336676	3.63570444303908	1.19917380753922	3.92624850155711	4.26884868400584	4.34882957185661	4.05596063486591	0	3.98237014880814	3.912243461126	0
Pcer_003800	0	0	0	0.0292898340340039	0	0	0	0	0	0	0	0.934319237326834	0	0	0	0	0.0137737055015747	0.00289580311202547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386340026107681	0	0	0	0	0	0	0	0	0.0245628480737598	0	0	0.0227717445137255	0
Pcer_005141	0.450681911294118	0.783914785749867	1.381165480871	0.349827654668371	1.82146583339734	1.03011536560698	0.234335091745988	0.207101157470672	1.0406444885399	0.405452441361275	0.710191595719203	0.908078301995877	0.857988511195322	0.366874649636003	0.987099180869022	0.089887320829113	0.198282664566536	0.0680221338068855	0.493116946625184	0.112522110112668	0.492943487146472	0.589348777502007	1.22336122820466	1.0041111148635	0.397093497087461	1.58931112060227	0.867539466948138	2.74708423016443	0.84058610112384	0.888124974894352	0.173441411421304	0.191365536440871	0.114374566753706	0.780613953840942	0.724609025235954	1.00556235258737	0.182993830767159	0.468371673329777	0.530194627649361	0.2917729434172	1.14493433016196	0.139881935175735	0.625892975287952	0.62466114489573	0.485379192125418	0.368867511574345
Pcer_005193	0	0	0	3.02746071072582	0	0	0	0	0	2.69446676249834	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11988997003959	2.89792962512885	2.73281344534445	0	0	0	3.07723354777123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27956177186303
Pcer_016662	0	0	1.48518630057603	0	1.99092489597786	0	0	0	0	0	1.16874326782032	0	0	0	0	0	0	0	0	0	0	1.88642186350706	0.424662323421317	0.42906639371049	0.797399982929878	0	0	0	1.94031366074523	0	0	0	0	0	0	0	0	0	0	1.30695565557869	0	0	0	0	0	0
Pcer_016708	0.703974354596516	0	0	0	1.53661449949619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0019068010096	0	0	0	0	0	0	0	0	0	0	1.62810950819833	0	0	0	0	0	0
Pcer_017476	1.52154352752588	1.62233498648074	1.58381769975576	1.6763127023692	1.42596785636727	1.57094632540375	1.51036492212944	0	1.24036326609363	1.79787870843608	1.34099203237473	1.60699052001097	1.84993764996599	1.77199646114702	1.36822610892532	1.75578801816726	1.02676713901477	0.932375476007787	1.21122256121655	1.56149877603779	1.51105654134614	1.15041125518196	1.58213125620677	1.42544728351389	1.62971395706237	1.54033196312552	1.53874996225552	1.67704889622057	1.72502262243117	1.67147499508145	1.70660690902212	1.93296717757395	1.78161148550951	2.05093738060873	1.5631495461569	0	0	1.94625980220524	1.55740602956774	1.40460985376752	1.43343363951747	1.70644810094988	1.6966132759772	2.02872176700893	2.07086549731225	1.74540605876137
Pcer_018085	1.76265501375538	1.94633291681928	1.97662403981977	2.12770859285905	1.97728906918894	1.74287065019239	1.87286453547576	1.75099511193563	1.68448137545119	1.50412739552632	1.93318770372651	1.5509766738158	1.98012646547309	1.76548291119149	1.78811500288764	1.94582857429961	2.27326122015443	2.30556066159557	2.5342212795759	2.09265251619852	2.18974265744846	1.95551247027953	1.73764447829831	1.93101867655747	2.13568233324432	0	1.75433932075151	2.23528200730029	1.75792998392105	1.7538215063321	1.71634117744194	1.98091098201415	1.84703064965908	2.21319962735755	0	2.39131695576552	1.90506464235389	2.02244001259165	1.90195527600145	1.68397249357727	2.02933569988605	2.16440382070145	1.90691074855344	1.76544886088824	1.95320504789087	1.92781571339729
Pcer_018706	0.622754222265861	0.742762242502877	0.987766385372202	2.67431146375776	0.732374624459806	0.91758948812502	0.988549996220172	1.45805626197065	0.388693921349627	0.342721952115425	0.810299795320605	0.442939425404664	0.72301321715358	0.464161597762102	0.753762390567383	0.530226405627225	0.886789004003838	0.814632686938014	0.959191204860735	0.296981201219879	0.348556074934978	0.75244574708297	0.658138982293984	0.478186309616001	0.544492287857743	0.643896010143461	0.226593593070058	0.275890828156782	0.678485724764158	1.04028660559913	0.961988500465672	0.251993753043137	0.688777648042003	0.19105497589311	1.36303673719063	0.927216032834023	0.656038076390346	0.932176679376283	0.0704090682068187	0.153292597494178	0.644732895739019	0.416752498494099	0.295750683485125	0.366749920488649	0.750803165035536	0.944106656963998
Pcer_023267	1.13293126432139	1.31515248574873	1.1238949710355	1.71551698986457	1.89699507708523	1.15818066658079	1.39004307590037	1.48338454668267	1.47023699265633	1.65086753031389	1.42088562488949	1.41164724348907	1.98220694888005	1.59395588190269	1.22733585050765	1.24104226288176	1.16986229978664	0.997718817929293	1.09486795405503	1.27722391662294	1.56262027156083	1.96314730346435	1.38693740432329	1.16765595886478	1.39206343794865	2.83398251875373	1.36658974402055	1.2723297136318	0.892378294867652	1.26878731862389	1.32528693166696	1.52613934352539	1.55215534971153	1.09594874458187	1.53694313069644	1.82298468158944	1.50842349435295	1.21019450931696	1.85053815305469	1.20325604751713	1.56073998401082	1.66106424135949	1.44733677800075	2.15708718638442	1.5289096202168	1.81550659433557
Pcer_037741	0.721105187649235	0.515060045932941	1.17313053379122	0.4836531739193	0.402395067017584	0.187527979821324	0.230791034628385	0.253913270585144	0.632407833412811	0.390413735703071	0.780486128892224	0.169384060467848	0.397911988313879	0.381617671589188	0.480730267605133	0.601358044598835	0.236937574816163	0.250408462462222	0.172951124433816	0.360409860446526	0.733672331026364	0.177004948646428	0.602094375262089	0.418347769139177	0.257463815317648	0.241715617859413	0.198362214787986	0.162526079472214	0.324948955043711	0.19603377974743	0.974335463929157	0.110465662193422	0.427594438295371	0.386740899109885	1.18858034592315	0.627383909722557	0.41746021167445	0.0171864630227459	0.0964313692183247	1.83012693385294	0.858267049679843	0.460474622123258	0.254718959614943	1.38253681035999	0.847302003235765	0.250269104342382
Pcer_038306	0	1.67457843982954	1.91017785856009	1.75233302824759	0	1.74343422196801	1.98922220650831	1.77335752052346	2.13564262937375	0	1.84880892342841	2.16582793173915	1.95927078267954	0	2.08540534778301	0	1.4780142398634	1.56096904664282	1.28507830088539	1.63677463603604	1.28144371545626	1.00271610386306	1.83350711520079	1.41668970656546	0	1.68824077489404	0	1.81686305426825	1.79138873384752	0	2.03558826475346	2.14507290295004	1.96280996783678	0	0	0	0	2.23451597328844	1.98649353225301	1.54371148601635	1.4878723570612	1.54386910072943	1.60303284370591	0	1.96932794244023	1.76171083036947
Pcer_053764	0	0	0	0	2.20586447899488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.58822580829336	2.36128258850661	0	0	0	2.55565475772357	0	0	0	0	0	2.74300104208127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcer_063034	1.78656031032764	1.39080766084283	0.691825307270283	1.35316897366805	2.08095664333344	1.92513264100299	2.37147709272695	1.16947855980116	1.25366770195774	1.00765824046394	1.79908325141004	2.34251305598719	1.68530854447544	1.29920998146563	0.794413225300448	2.61963573114695	1.88398307226967	1.55970382290727	1.53265383963815	2.2330754094113	2.36776684471446	0.875526652343461	1.46494725729885	1.00210946461295	1.56238781347272	1.94674237408855	1.50707069017812	1.45372237552308	1.69221625944726	1.6998172282121	2.38902027901754	2.15705734526409	1.17770469879809	1.53992469130304	3.03300223908191	1.1583163300176	2.20352524195104	1.28266429182021	2.45540162610036	1.61764732282366	2.20740513471053	2.86438050382474	2.6518973285949	2.38586510877269	1.32982162391469	2.16970959950636
Pcer_074444	3.35638988612888	3.57404458708451	3.43731160801116	3.09934610965485	0	3.53295432588389	3.49648043988657	3.55963008054617	3.53631519442322	3.41632458638017	0	3.44508066963844	0	3.71128826569298	3.70866943427132	3.65064556588873	3.42615581257824	3.69728349106075	3.72885562702793	3.56977658223178	0	3.73768804668499	3.71726280850571	3.84945844940553	3.47940375815733	3.42374812485129	0	3.26039715879364	3.292470316642	3.48529686486781	0	3.46278016390409	3.28949271026374	3.62306887091504	3.33977262107005	3.19784350821388	3.3360103302743	3.6217259168	3.79046700357791	3.49031393565536	3.67815780712294	3.51808336323396	3.37693604106065	3.42184781940012	3.68562029883251	0
Pcer_074717	1.12511886478749	0.982758016750494	1.62667509492629	0.892717452596449	0.925567172347861	1.73400146390435	1.16617467082623	1.15939689768591	1.45226700965499	1.43813083295985	1.65132871157915	1.31698608275456	1.10315097323904	0.809043548689003	1.09947191907999	1.34788222098332	1.43222162156468	1.12496531063346	1.43643789478583	1.15725156844761	1.09943062041	1.17119059147399	1.25959869445107	1.08310466462624	1.32065923893511	1.62937837336804	1.38052399453124	1.3064729831178	1.30568390897663	1.18643419819858	1.28765592380612	1.44588951203648	0.877648443401059	1.6656700307281	1.07317276387492	0.68549497698823	1.47023699265633	1.77497794380451	1.80061002062795	1.51207422562676	1.64452683224249	0.757274367111044	0.530126948960678	1.37265146864467	1.19205830776162	1.04068864093491
Pcer_075791	1.69764217764958	1.55285676723666	1.49117158501106	1.40540606350791	1.53232336351626	1.55047825379691	1.7298069348759	1.58542960565309	2.0693430986086	2.27078478044425	2.04244542228199	0.949421012863719	1.85598919269253	0.773803238557248	1.64826143133157	1.48698481398997	1.80995246843439	1.73461152592153	1.56984994785227	1.80815236843421	1.61194257315105	0.995941855196238	1.83178786893523	0.89143107533272	1.00871566243803	0.760875452778195	1.26094426735834	1.64431709940196	1.9331089913111	1.75342465688208	0.847029395782378	1.61385872622114	2.15273428877074	1.85763428462662	1.7126527678084	1.6888660928629	1.87000656575637	0.8993410949279	1.63979600680705	0.6775989305532	1.67717655770809	1.49362181608368	0.908996997142611	2.03424018004799	1.58926275575747	1.90853503459367
Pcer_095003	1.44923934763031	1.51874179146952	1.22536475621173	1.98476596047522	1.61205947313905	1.49040321878056	1.65269067823463	1.54873926287768	1.35808931214077	1.48227658777741	1.93868482342918	1.35445043246459	1.42443227672097	1.41393603558364	1.63708673648822	1.31955795974545	1.3951639101189	2.34865241072216	1.79383747534373	1.93716804799847	1.7538215063321	2.51871820852555	1.53007560656808	1.90370550268381	1.18509605427311	0.978209574648753	2.07458124957225	1.59891696080786	1.4208967338298	1.53237953056052	1.19632322072284	1.57655308509832	1.96923457872338	2.26564534446193	1.85646969437365	1.76885976092381	1.36815941247434	1.15351579173621	1.35986696340957	1.66201651046492	1.60591672030712	1.40618472966473	1.35102100688422	1.62863211938604	1.25198809693135	1.48359778037467
